Feature1,Feature2,Feature3,Feature4,Target
63.94,1.25,62.26,3.01,25.44
89.22,4.35,90.17,1.27,29.33
21.86,25.27,15.04,2.79,34.94
22.04,29.46,163.79,1.06,35.73
80.58,34.91,74.65,2.40,66.08
9.27,4.84,171.02,6.43,19.11
80.71,36.49,111.88,9.76,78.44
82.94,30.93,173.72,6.20,69.24
70.46,2.29,53.30,3.60,31.01
10.10,13.90,130.78,4.28,23.67
37.02,10.48,60.73,9.43,35.89
17.11,36.46,41.05,4.42,49.10
98.95,32.00,115.82,7.16,78.21
22.90,1.61,69.94,3.41,11.94
21.10,47.15,176.51,3.83,64.02
91.45,22.94,60.33,3.22,53.49
56.14,13.14,121.07,9.08,45.76
99.75,25.48,27.27,1.42,58.07
10.96,31.37,160.50,4.80,45.81
99.61,26.46,194.50,8.75,73.37
1.15,36.04,139.52,5.83,49.17
11.16,21.74,96.21,9.58,46.37
87.59,13.17,105.11,2.61,45.71
29.84,31.95,125.70,2.38,43.54
76.25,26.97,157.94,5.77,62.69
1.95,46.45,176.96,8.48,68.34
30.75,2.90,176.82,9.52,32.78
6.92,38.03,155.51,2.16,46.72
47.53,27.49,60.36,8.85,56.86
53.93,36.50,48.22,3.81,61.56
99.51,32.49,93.24,5.66,74.32
33.81,29.42,53.72,2.98,45.92
7.10,31.56,53.50,9.15,52.30
23.80,33.45,50.70,2.19,44.77
93.55,28.55,99.81,8.06,72.02
9.69,21.55,90.48,5.20,32.32
72.91,33.67,196.99,1.89,58.32
86.17,12.43,46.14,5.04,47.68
42.19,13.93,57.46,9.31,40.08
55.03,2.53,199.86,8.52,35.68
96.90,46.32,171.25,2.50,82.81
40.10,2.93,82.00,9.87,34.02
26.52,39.20,96.45,4.81,65.12
55.58,35.92,39.41,3.67,59.40
96.87,28.96,113.02,7.73,75.33
50.29,42.64,39.91,9.65,81.24
8.01,9.29,123.06,7.08,23.55
89.03,12.31,122.96,6.57,50.76
41.92,29.18,109.33,9.41,61.50
23.87,19.79,137.62,3.70,35.37
31.62,37.59,23.78,5.12,64.72
7.33,10.66,60.39,9.40,28.88
88.09,43.96,80.21,2.42,79.44
61.17,49.36,134.26,1.07,71.71
81.71,14.97,136.04,9.45,56.16
10.70,27.66,61.75,6.44,43.13
71.76,10.18,130.51,3.38,31.71
84.61,4.61,90.48,3.49,36.01
0.35,38.56,131.05,3.36,46.44
42.77,0.48,24.30,8.95,27.74
90.39,27.28,168.57,6.24,66.10
30.83,44.95,161.26,8.75,74.93
89.89,10.50,57.41,1.93,40.15
40.64,31.03,39.37,9.37,58.63
86.46,48.81,164.05,8.93,100.71
33.22,46.54,162.42,8.78,77.48
81.07,13.34,159.60,1.97,42.33
22.24,40.83,97.46,3.75,54.16
79.53,11.38,14.50,2.74,36.96
96.69,13.96,131.88,4.60,53.52
98.11,26.81,188.46,2.04,60.61
96.25,13.27,30.60,4.91,49.24
72.85,15.68,125.18,5.60,44.43
25.47,35.44,10.32,9.33,63.48
53.85,35.97,150.97,7.04,66.67
66.42,16.51,69.64,8.63,52.66
71.98,15.02,68.76,4.68,42.32
12.73,21.02,188.67,7.10,38.42
90.28,30.78,67.18,5.93,70.57
42.99,29.00,134.39,5.18,52.04
44.22,10.69,99.91,9.11,39.88
8.48,25.77,130.26,4.02,33.69
81.84,37.56,137.83,3.02,69.40
24.48,23.76,171.45,1.66,33.62
41.44,31.49,46.94,7.27,56.99
65.61,0.28,152.68,7.93,36.46
